1,1,3,"Though Lori L. Yan T. apt believe , I check accident look direction location ; I woman , therefore , need restroom time , STAT.I say , however , interior extremely well-maintained . Dare I even say 's `` pretty `` ? I use restroom , I knock , hear answer three second later , enter , two gentleman say bathroom . One leave zip pant . He matter factly inform friend way , I could go use toilet I need to.I ... waited.Next time , I 'll buy small order fry combat `` I use 'customers ' bathroom without pay `` guilt . ... story . I hope enjoy ."
2,2,2,"I 've lot restaurant absolute worst . From staff hairnet straggle hair everywhere overflow trash greet soon come , place need condemn . It 's disgust . The worker say bathroom order yet sign state . The worker say someone keep take unlock restroom use anything look like `` American Horror Story : McDonald 's `` . They bunch staff back yet one seem clean bathroom surround area since night . It deplorable . And audacity smart sell yesterday 's apple pie ! That thing hard economy ! The health department need ASAP ! And worker lazy hell ."
6,2,2,With doubt bad run Mackers Iv ever . No one care people look/act like manager useless rest . They seem almost proud lack care ! And struggle simplest order
7,1,1,"Management change , make effort . Naomi take care fry real good ."
9,2,2,Worst McDonald 's ever ! Staff hang around cell phone talk . Never ! !
10,2,2,"SUCH bad service . It 's McDonald 's food expect McDonald 's I 've , bad service I 've see suck since one I live close to.The interior pretty clean look nice , would make rating decent rude af cashier . This n't limit single instance ; I multiple time cashier almost always incredible offensive , rush call stupid blind ask clarification menu drinks.Furthermore , store always seem . The ice cream machine almost constantly break one memorable time , I try buy drink almost everything ( lead ask exactly cashier call blind , mention ) . There another time cashier yell old man struggle order . Yep , make opinion place go wayyy down.P.S . n't try use McDonald 's app coupon place ; cashier wo n't wait show bar code manage scan , give really judgey look ."
11,2,2,Horrible cold food half cooked fry 's expensive cold crap sell
12,2,2,Ummm ... yeaaaaah place horrible employee always attitude hell attitude work ? Just QUIT ! ! ! I never understand people come work like bad day everyday I n't get . A NEW STAFF IS NEEDED !
13,2,3,"Oh pity . I mean , I lucky McDonald 's block away I live . Lots memory child go happy place . Too bad memory fade especially McDonald 's like . First , I give 2 star base food . I 've never problem 6 year 's open food . It 's little annoyance around food irk core . This place attract sick people . Literally . The hospital block 's also methodone clinic close . Having patient action around lead pathogens table chair counter . Not mention nod happen a.m . This McDonald 's also close train station attract many people work . Mornings bad . Long line 1 2 register open . Unwelcoming . People take order fulfil different time . Still frozen hash brown . Nodding individual . What Coffee Only line . Take note . Not mention LOUD screeching/scratching chair get pull table . The noise almost deafening bad endure 7 , 8 , 9 a.m. anytime day really . Then deal lingering middle schoolers lunch break neighbor employee . Even long line still 2 register open . And later evening expect chaos kid wo n't go home school , stick around curse laugh storm . As well Chinatown crowd still shock closing Canal Street 's location . Be prepare possible panhadlers well . They come . The bathroom well-maintained though . A certain lady year since I live relatively close , I 'd stick . What place need enema . An intervention Gods sift , cease , refine . Again , food great . It 's McDonald 's , know expect . But location put 's ambiance back burner 's McDonald 's I want continue know . Good Luck !"
14,2,2,"When McDonalds first open clean always pack customer . Tonight I order filet-o-fish meal cost $ 8 time I get home ( literally block ) food cold . Not , I put toaster oven heat little cheese n't even melt ! mention fish hard . There 3 employee plus Mgr .. one prepping food . Service slow skip order 3 time . Health department need pay visit even .. SHUT IT DOWN ! ! ! ! In morning/afternoon hour place fill addict . Some eat hang . I 've say time I mean . I 'll never order eat food ...."
15,1,1,"Every month I get McDonald 's craving . Just come quick fix . The fry perfectly cook really , 's important craving satisfy . The filet-o-fish party small I remember I think 's corporate problem particular franchise . Management staff operate efficiently busy lunch hour wait 5 min food . One good location I 've ."
16,2,2,"Place dirty , customer service non existence , bad food , slow service , list go .. You get idea . It 's dump overall .. Stay away ."
17,2,2,This place bad service cashier always attitude . Always give dirty look .
19,1,3,Ca n't find fault visit . Service good ; long wait . The place kept clean . And burger ( new bacon club ) even come look like picture . That hardly ever happen !
18,2,2,The food horrible . It bad McDonald 's stores.The bread use always stale . The service lousy .. The management rude .
20,2,2,"would give 0 star could . ige alot mickey bad forget bad service im ny deal . let talk hashbrown throw bag wrapper , chicken nugget get piece hard white plastic ? ? ! ! wtf 's like hard high expectation mcdonald 's least usually 's edible gross seemingly unsanitary . place need serious help jesus ."
21,1,1,Needed breakfast work 6am 2pm shift . And mood sausage egg mc muffin . I n't McDonald 's year . So I order mc muffin hash browns.Order come fast way . I choice breakfast nearby could n't deny mickie craving .
22,2,2,"Not frequent McDonald 's visitor , I n't one year . This McDonald 's PACKED . The seating restroom second floor , get stair like swim current . The hallway space way small worker unfriendly , bust way first.Food anywhere else , main reasoning behind review atmosphere ."
23,2,2,"Worst I 've . The staff rude listen , unapologetically take order attitude . The place filthy . Garbage everywhere . The food old I mad I take go I trust would fresh , sure . My fry , even ask salt , make fresh . The expensive borough fillet fish old taste like sit . The manger seem work seem clean table dirty rag smell like old dirty mop ."
24,2,2,The McDonald 's total scam . Do n't visit . Outside advertise student discount I never get even student ID . Then I give lady $ 15 $ 14 order say I give $ 14 . I appalled ca n't math correctly . Either ca n't math want steal $ 1 . She n't give back change even though I demand . I even tell check security camera . She keep insist I give $ 14 . That 's disgusting . She also give burn chicken nugget . Seriously place scam total waste time money .
25,2,2,"This McDonald 's 52 Fulton Street , NYC close . The sign front door say could n't afford new rent increase ."
26,2,2,Just walk right . This store 24 hour serve customer I get reject say close . If store `` closed `` lock door change dining hour .
27,2,2,"I come lunch break work - meaning I already short time give place call `` fast food `` course , I expect FAST service . That last thing I get top problem I encounter . It safe say I probably wo n't visit location anytime soon food good ( reason 2-star rating 1-star ) customer service repulsive.I visit 12:30PM since lunch hour everywhere , expect fully staff McDonalds work register . They hold line argue another customer preferred choice payment ! ! ! Not money pay one thing choose pay cash exact change another end day , money money.They end take ( finally ) keep move . After 15 minute wait line order another 10 minute get food , lunch break I eat burger walk back work ."
28,2,2,"`` No packet mayonnaise relish `` ( Lies ) Shitty overprice McDonalds near Wall Street . Bad food , high price . Walk 0.5 mile anywhere good food.Assholes know neighborhood ball late-night eats . Overcharge undersupply ."
29,2,2,"After long night watch Michigan sport ( WOLVERINES ! ) I really want McFlurry . The person behind counter say machine broke , people eat soft serve I think lie ."
30,2,2,Do favor ..... 're like love Brummer king fast food every blue moon NEVER walk location . It 's street one day I decide 4 minute walk instead order . The staff disgustingly rude . The place visibly dirty . I regret . It may ruin Burger King together . Let alone month cheat meal . I n't get .... I think fast food employee pay $ 15 hour .... n't care little ? I know ... 's Burger King I n't expect much .
31,2,2,I come quick hot chocolate interview . There line service slow rude . There bunch people loiter make hard get seat . I able grab seat enjoy rest beverage I wipe filthy .
32,2,2,"Wtf ? ? ? I work around corner attempt order several time . A ) never , NEVER AHAVE McFlurrys . B ) I ca n't eat pork red meat . Every time I ask hash brown , instead sausage , EVERY OTHER MCDONALDS say yes . This place wo n't accommodate people n't eat sausage . As earlier state , I work around corner . This place would legit get business minimum two time week , n't AWFUL customer service ."
33,2,2,This McDonald 's worst even I love fast food get order wrong call obese father fat turning
34,2,2,Unfortunately All employee idiots.They say $ 5 $ 4.79 . They could understand $ 0.21 difference .
35,2,2,"The absolute worst McDonald 's existence . Slowest service , stale/poorly cook food probably low low staff . I avoid place like plague time ."
